'?y2+XTmv'		'20'	'2'	'01'	'656043'	'1'	'БАРНАУЛ'	'УЛ.Л.ТОЛСТОГО,38А'	'040173001'	'ООО КБ "АЛТАЙКАПИТАЛБАНК"'	'АЛТАЙКАПИТАЛБАНК'	'040173771'	'700161971'	'101062'	'03'			'(3852)236214'	'2659'	'32237844'	27.10.03		'30101810900000000771'	29.03.94		
'gSE7-AGk'		'30'	'2'	'01'	'656049'	'1'	'БАРНАУЛ'	'УЛ.АНАТОЛИЯ,99'	'040173001'	'ФИЛИАЛ "АЛТАЙ" ЗАО "МОССТРОЙЭКОНОМБАНК"'	'АЛТАЙ'	'040173775'	'700161175'	'101062'	'03'			'(3852)354576,354573'	'948/9'	'32239820'	13.12.06		'30101810100000000775'	29.03.94		
'Nd(D57bp'		'10'	'3'	'01'	'659000'	'3'	'ПАВЛОВСК'	'УЛ.ЛЕНИНА,24'	'040173001'	'РКЦ ПАВЛОВСК'	'ПАВЛОВСК'	'040152000'		'101330'	'02'	'233053'		'(8211)20973,20845'		'09318100'	27.10.03			20.01.94		
'*e$r49IN'		'10'	'3'	'01'	'658670'	'7'	'БЛАГОВЕЩЕНКА'	'УЛ.ПУШКИНА,87'	'040173001'	'РКЦ БЛАГОВЕЩЕНКА'	'БЛАГОВЕЩЕНКА'	'040153000'		'101084'	'03'	'233788'		'(8264)22345,22245'		'42356350'	27.10.03			20.01.94		
'T>XR+f>d'		'10'	'3'	'01'	'659106'	'1'	'ЗАРИНСК'	'УЛ.КОМСОМОЛЬСКАЯ,6'	'040173001'	'РКЦ ЗАРИНСК'	'ЗАРИНСК'	'040154000'		'101448'	'02'	'233492'		'(8295)22195,22395'		'09101441'	27.10.03			20.01.94		
'YD5ZY-09'		'10'	'3'	'01'	'658200'	'1'	'РУБЦОВСК'	'УЛ.К.МАРКСА,172'	'040173001'	'РКЦ РУБЦОВСК'	'РУБЦОВСК'	'040155000'		'101396'	'02'	'233514'	'233516'	'(8257)22611,22613'		'09316360'	27.10.03			20.01.94		
'K<<u=y@9'		'20'	'2'	'01'	'658210'	'1'	'РУБЦОВСК'	'УЛ.ЛЕНИНА,206'	'040155000'	'АКБ "АЛТАЙБИЗНЕС-БАНК"'	'АЛТАЙБИЗНЕС-БАНК'	'040155754'	'700161854'	'101396'	'00'			'(8257)24341,24320'	'2388'	'27068718'	17.11.05		'30101810800000000754'	20.01.94		
'c!bGg*=t'		'10'	'3'	'01'	'658030'	'7'	'ТАЛЬМЕНКА'	'УЛ.КИРОВА,82'	'040173001'	'РКЦ ТАЛЬМЕНКА'	'ТАЛЬМЕНКА'	'040156000'		'101460'	'03'	'233718'		'(8291)27125,22163'		'09101464'	27.10.03			20.01.94		
'jPXVYuui'		'20'	'2'	'01'	'656037'	'1'	'БАРНАУЛ'	'ПР.ЛЕНИНА,156-А'	'040173001'	'ООО "КБ "ТАЛЬМЕНКА-БАНК"'	'ТАЛЬМЕНКА-БАНК'	'040173749'	'700161049'		'01'			'(3852)770871,770653'	'826'	'09316294'	20.04.05		'30101810000000000749'	20.01.94		
'+((yK=Gy'		'10'	'3'	'01'	'658820'	'1'	'СЛАВГОРОД'	'УЛ.ВОЛОДАРСКОГО,145'	'040173001'	'РКЦ СЛАВГОРОД'	'СЛАВГОРОД'	'040160000'		'101404'	'03'	'233832'		'(8268)22607,22942'		'09101406'	27.10.03			20.01.94		
'FvMGwiCF'		'10'	'3'	'01'	'658700'	'1'	'КАМЕНЬ-НА-ОБИ'	'УЛ.ПУШКИНА,20'	'040173001'	'РКЦ КАМЕНЬ-НА-ОБИ'	'КАМЕНЬ-НА-ОБИ'	'040161000'		'101181'	'02'	'233848'		'(8214)23037,22876'		'09101180'	27.10.03			20.01.94		
'9<1v5Qdy'		'10'	'3'	'01'	'659700'	'3'	'ПОСПЕЛИХА'	'УЛ.КОММУНИСТИЧЕСКАЯ,47'	'040173001'	'РКЦ ПОСПЕЛИХА'	'ПОСПЕЛИХА'	'040167000'		'101363'	'02'	'233808'		'(8256)22145,22677'		'09101369'	27.10.03			20.01.94		
'j7474kn='		'10'	'3'	'01'	'658170'	'3'	'ЧАРЫШСКОЕ'	'УЛ.ЦЕНТРАЛЬНАЯ,24'	'040173001'	'РКЦ ЧАРЫШСКОЕ'	'ЧАРЫШСКОЕ'	'040168000'		'101556'	'03'			'(8274)22341,22251'		'09101553'	27.10.03			20.01.94		
'iiDbn*=('		'10'	'3'	'01'	'658130'	'1'	'АЛЕЙСК'	'УЛ.СОВЕТСКАЯ,98'	'040173001'	'РКЦ АЛЕЙСК'	'АЛЕЙСК'	'040169000'		'101028'	'02'	'233687'		'(8253)21402,20361'		'09101665'	27.10.03			20.01.94		
'pG<ewH<r'		'00'	'3'	'01'	'656018'	'1'	'БАРНАУЛ'	'УЛ.КРУПСКОЙ,91А'	'040173001'	'ГРКЦ ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ КР.'	'ГУ БАНКА РОССИИ ПО АЛТАЙСКОМУ'	'040173001'		'101062'	'00'	'233157'		'(3852)242888,243289'		'09101062'	27.10.03			20.01.94		
